Station Number,Standard Route Identifier,Mile Marker,Latitude,Longitude,County Code,Municipal Code,County,Municipality,Annual Average Daily Traffic,Annual Average Daily Traffic North/East (See Direction Field),Annual Average Daily Traffic South/West (See Direction Field),Year,Station Type,Direction
7-0-305,00000557__,31.71,39.55418702,-74.96974203,8,805,Gloucester,Franklin Twp,2016,1024,992,01/01/2012,Classification 48hrs,North/South
091316,00000520__,18.48,40.343103,-74.039069,13,1323,Monmouth,Little Silver Boro,17544,9439,8105,01/01/2012,Volume 48hrs,East/West
110316,03000612__,4.01,39.931699,-74.868586,3,324,Burlington,Mount Laurel Twp,3377,1735,1642,01/01/2012,Volume 48hrs,North/South
121993,00000023__,33.96,41.13292,-74.5748,19,1906,Sussex,Franklin Boro,22427,11049,11378,01/01/2012,Volume 48hrs,North/South
092103,21191200__,0.6,40.69752255,-75.18678961,21,2119,Warren,Phillipsburg Town,1394,1004,390,01/01/2012,Classification 48hrs,East/West
2p6d903,02491107__,0.13,40.841805,-73.999303,2,245,Bergen,Palisades Park Boro,7893,2143,5750,01/01/2012,Volume 48hrs,North/South
8-4-506,01000624__,1.7,39.57375146,-74.56301897,1,107,Atlantic,Egg Harbor City,348,181,167,01/01/2012,Volume 48hrs,East/West
2p6d904,02000100__,0.59,41.093973,-74.155052,2,233,Bergen,Mahwah Twp,11340,5586,5754,01/01/2012,Volume 48hrs,East/West
8-4-201,00000030__,30.62,39.63791597,-74.77706753,1,113,Atlantic,Hammonton Town,15552,7903,7649,01/01/2012,Volume 48hrs,East/West
120621,00000552__,6.59,39.43714903,-75.11064358,6,603,Cumberland,Deerfield Twp,13447,6980,6467,01/01/2012,Volume 48hrs,East/West
110313,03000609__,0.51,39.96303,-74.997258,3,319,Burlington,Maple Shade Twp,2319,1276,1043,01/01/2012,Volume 48hrs,North/South
120620,00000540__,33.26,39.49258476,-75.0435486,6,614,Cumberland,Vineland City,1554,877,677,01/01/2012,Volume 48hrs,East/West
5-5-312,00000029__,32.56,40.4954333,-75.0613,10,1016,Hunterdon,Kingwood Twp,2016,1017,999,01/01/2012,Classification 48hrs,North/South
120805,00000055__,56.9,39.80031108,-75.10838161,8,802,Gloucester,Deptford Twp,72178,36240,35938,01/01/2012,Volume 48hrs,North/South
110320,03000613__,2.49,40.01036588,-74.93613163,3,310,Burlington,Delran Twp,7296,3517,3779,01/01/2012,Volume 48hrs,North/South
120808,00000045__,15.79,39.71613309,-75.24678004,8,816,Gloucester,South Harrison Twp,5880,2733,3147,01/01/2012,Volume 48hrs,North/South
091918,00000519__,87.09,41.31333979,-74.65026026,19,1924,Sussex,Wantage Twp,992,513,479,01/01/2012,Volume 48hrs,North/South
121006,00000031__,15.8,40.4176694,-74.8616528,10,1008,Hunterdon,East Amwell Twp,23239,12106,11133,01/01/2012,Volume 48hrs,North/South
092106,00000094__,6.67,40.98126482,-75.00176394,21,2104,Warren,Blairstown Twp,7485,3708,3777,01/01/2012,Volume 48hrs,North/South
121002,10000621__,0.06,40.634182,-74.85,10,1006,Hunterdon,Clinton Twp,2171,731,1440,01/01/2012,Volume 48hrs,North/South
7-0-365,03000612__,8.09,39.94685102,-74.79844404,3,317,Burlington,Lumberton Twp,1148,582,566,01/01/2012,Classification 48hrs,North/South
121005,00000022__,27.62,40.6138528,-74.7324194,10,1022,Hunterdon,Readington Twp,27159,13065,14094,01/01/2012,Volume 48hrs,East/West
8-4-326,00000109__,1.62,38.95148091,-74.90796757,5,505,Cape May,Lower Twp,19999,9804,10195,01/01/2012,Volume 48hrs,North/South
121108,00000031__,8.5,40.338818,-74.79649,11,1106,Mercer,Hopewell Twp,25254,12408,12846,01/01/2012,Volume 48hrs,North/South
12msab,00000563__,39.47,39.80996,-74.53338,3,339,Burlington,Woodland Twp,1816,916,900,01/01/2012,major,North/South
121132,11141245__,1,40.3455194,-74.6412944,11,1110,Mercer,Princeton Twp,4761,2740,2021,01/01/2012,Volume 48hrs,East/West
8-5-010,00000009__,32.91,39.31360995,-74.60839948,1,121,Atlantic,Somers Point City,11154,5730,5424,01/01/2012,Classification 48hrs,North/South
110837,08000640__,0.9,39.84316704,-75.17449702,8,820,Gloucester,West Deptford Twp,12306,6346,5960,01/01/2012,Volume 48hrs,East/West
7-0-378,08141004__,0.43,39.83685512,-75.23992181,8,814,Gloucester,Paulsboro Boro,2535,1251,1284,01/01/2012,Volume 48hrs,North/South
121123,11021388__,1.08,40.2837917,-74.8361333,11,1102,Mercer,Ewing Twp,498,235,263,01/01/2012,Volume 48hrs,East/West
8-4-628,05071001__,1.27,39.00435285,-74.79230778,5,507,Cape May,North Wildwood City,644,444,200,01/01/2012,Volume 48hrs,North/South
121125,11031987__,0.42,40.1936222,-74.6927861,11,1103,Mercer,Hamilton Twp,2808,1301,1507,01/01/2012,Volume 48hrs,North/South
8-4-338,00000187__,0.25,39.37557641,-74.43121621,1,102,Atlantic,Atlantic City,4319,1669,2650,01/01/2012,Volume 48hrs,North/South
121126,11031991__,0.82,40.1877861,-74.6698056,11,1103,Mercer,Hamilton Twp,1299,710,589,01/01/2012,Volume 48hrs,North/South
8-4-335,00000152__,2.93,39.31509308,-74.53565223,1,108,Atlantic,Egg Harbor Twp,10538,5096,5442,01/01/2012,Volume 48hrs,East/West
121299,12141066__,0.3,40.49487701,-74.44565501,12,1214,Middlesex,New Brunswick City,0,4356,0,01/01/2012,Volume 48hrs,East
