Station Number,Standard Route Identifier,Mile Marker,Latitude,Longitude,County Code,Municipal Code,County,Municipality,Annual Average Daily Traffic,Annual Average Daily Traffic North/East (See Direction Field),Annual Average Daily Traffic South/West (See Direction Field),Year,Station Type,Direction
13ms4a,00000077__,19.99,39.69945539,-75.2048936,8,804,Gloucester,Elk Twp,3633,1813,1820,01/01/2016,major,North/South
8-5-060,00000206__,3.76,39.69554,-74.75527,1,113,Atlantic,Hammonton Town,9000,4449,4551,01/01/2016,Classification 48hrs,North/South
13ms4a,00000077__,19.99,39.69945539,-75.2048936,8,804,Gloucester,Elk Twp,3826,1909,1917,01/01/2016,major,North/South
8-5-522,05000621__,4.11,38.972211,-74.838785,5,515,Cape May,Wildwood Crest Boro,1998,782,1216,01/01/2016,Volume 48hrs,North/South
2-4-121,00000080__,58.92,40.90548,-74.1606,16,1608,Passaic,Paterson City,135818,69704,66114,01/01/2016,Volume 48hrs,East/West
8-6-121,06000649__,0.51,39.25240678,-75.02745366,6,602,Cumberland,Commercial Twp,1469,785,684,01/01/2016,Volume 48hrs,North/South
13ms4a,00000077__,19.99,39.69945539,-75.2048936,8,804,Gloucester,Elk Twp,3805,1889,1916,01/01/2016,major,North/South
8-6-132,00000563__,4.24,39.371998,-74.552986,1,118,Atlantic,Northfield City,12901,6181,6720,01/01/2016,Volume 48hrs,North/South
13ms4a,00000077__,19.99,39.69945539,-75.2048936,8,804,Gloucester,Elk Twp,4332,2172,2160,01/01/2016,major,North/South
8-7-047,00000555__,14.98,39.462919,-75.007357,6,614,Cumberland,Vineland City,13978,7021,6957,01/01/2016,Volume 48hrs,North/South
13ms5a,00000206__,26.29,40.01139061,-74.7330717,3,334,Burlington,Springfield Twp,13798,6920,6878,01/01/2016,major,North/South
8-5-520,05000603__,2.4,38.986002,-74.939516,5,505,Cape May,Lower Twp,12422,6209,6213,01/01/2016,Classification 48hrs,North/South
000206,00000206__,22,39.94968,-74.74434,3,333,Burlington,Southampton Twp,13695,7109,6586,01/01/2016,Weigh in Motion,North/South
8-5-527,05000657__,7.54,39.13976792,-74.82562379,5,506,Cape May,Middle Twp,8866,4129,4737,01/01/2016,Classification 48hrs,North/South
13ms5a,00000206__,26.29,40.01139061,-74.7330717,3,334,Burlington,Springfield Twp,14716,7423,7293,01/01/2016,major,North/South
8-7-094,06000628__,4.06,39.485153,-75.0526,6,614,Cumberland,Vineland City,4528,2322,2206,01/01/2016,7 days volume,North/South
13ms5a,00000206__,26.29,40.01139061,-74.7330717,3,334,Burlington,Springfield Twp,14611,7331,7280,01/01/2016,major,North/South
8-6-116,00000552__,17.45,39.42724,-74.936831,6,614,Cumberland,Vineland City,7242,3618,3624,01/01/2016,Classification 48hrs,East/West
13ms5a,00000206__,26.29,40.01139061,-74.7330717,3,334,Burlington,Springfield Twp,16410,8237,8173,01/01/2016,major,North/South
8-8-075,06101334__,0.26,39.41326,-75.026215,6,610,Cumberland,Millville City,1088,509,579,01/01/2016,Volume 48hrs,East/West
13ms6a,00000537__,26.99,40.05414836,-74.6582986,3,334,Burlington,Springfield Twp,5920,2934,2986,01/01/2016,major,East/West
8-8-264,00000563__,27.13,39.644525,-74.558934,3,336,Burlington,Washington Twp,598,321,277,01/01/2016,Volume 48hrs,North/South
13ms6a,00000537__,26.99,40.05414836,-74.6582986,3,334,Burlington,Springfield Twp,6167,3054,3113,01/01/2016,major,East/West
8-8-204,05000615__,0.55,39.08414007,-74.82806427,5,506,Cape May,Middle Twp,6338,3005,3333,01/01/2016,Classification 48hrs,North/South
13ms6a,00000537__,26.99,40.05414836,-74.6582986,3,334,Burlington,Springfield Twp,6175,3059,3116,01/01/2016,major,East/West
8-8-110,06141022__,1.37,39.463646,-74.98073,6,614,Cumberland,Vineland City,2083,949,1134,01/01/2016,Classification 48hrs,East/West
13ms6a,00000537__,26.99,40.05414836,-74.6582986,3,334,Burlington,Springfield Twp,7196,3568,3628,01/01/2016,major,East/West
8-8-426,01000630__,0.37,39.4280904,-74.50976943,1,101,Atlantic,Absecon City,1612,638,974,01/01/2016,Classification 48hrs,East/West
13ms7a,00000552__,3.39,39.4374993,-75.16947607,6,613,Cumberland,Upper Deerfield Twp,6096,2973,3123,01/01/2016,major,East/West
8-8-077,00000552__,13.86,39.43613703,-74.98080302,6,614,Cumberland,Vineland City,3738,1883,1855,01/01/2016,7 days volume,East/West
13ms7a,00000552__,3.39,39.4374993,-75.16947607,6,613,Cumberland,Upper Deerfield Twp,6570,3181,3389,01/01/2016,major,East/West
8-8-232,00000548__,9.03,39.302303,-74.81754,5,511,Cape May,Upper Twp,690,367,323,01/01/2016,Volume 48hrs,East/West
13ms7a,00000552__,3.39,39.4374993,-75.16947607,6,613,Cumberland,Upper Deerfield Twp,6770,3289,3481,01/01/2016,major,East/West
8-8-240,05000610__,5.9,39.245544,-74.746642,5,511,Cape May,Upper Twp,2883,1509,1374,01/01/2016,Classification 48hrs,North/South
13ms7a,00000552__,3.39,39.4374993,-75.16947607,6,613,Cumberland,Upper Deerfield Twp,6670,3221,3449,01/01/2016,major,East/West
8-8-428,01000651__,11.85,39.43145942,-74.51349862,1,101,Atlantic,Absecon City,14812,7806,7006,01/01/2016,Volume 48hrs,North/South
13ms8a,00000563__,13.55,39.49743325,-74.6059594,1,111,Atlantic,Galloway Twp,8518,3891,4627,01/01/2016,major,North/South
8-8-443,01011260__,0.29,39.42562114,-74.50148535,1,101,Atlantic,Absecon City,2403,1339,1064,01/01/2016,Volume 48hrs,North/South
13ms8a,00000563__,13.55,39.49743325,-74.6059594,1,111,Atlantic,Galloway Twp,8522,3875,4647,01/01/2016,major,North/South
8-8-615,05051171__,0.56,39.000164,-74.9511,5,505,Cape May,Lower Twp,79,41,38,01/01/2016,Volume 48hrs,North/South
13ms8a,00000563__,13.55,39.49743325,-74.6059594,1,111,Atlantic,Galloway Twp,9044,4118,4926,01/01/2016,major,North/South
8-8-692,01181013__,0.19,39.359158,-74.54978,1,118,Atlantic,Northfield City,95,38,57,01/01/2016,Volume 48hrs,North/South
13ms8a,00000563__,13.55,39.49743325,-74.6059594,1,111,Atlantic,Galloway Twp,9807,4486,5321,01/01/2016,major,North/South
8-8-663,01000631__,0.06,39.42038701,-74.49893072,1,101,Atlantic,Absecon City,2230,1116,1114,01/01/2016,Volume 48hrs,East/West
090433,00000536S_,5.53,39.75406797,-74.93104936,4,436,Camden,Winslow Twp,10603,5351,5252,01/01/2016,7 days volume,North/South
8-8-684,01151026__,0.1,39.31322,-74.5265,1,115,Atlantic,Longport Boro,218,115,103,01/01/2016,7 days volume,North/South
13ms8a,00000563__,13.55,39.49743325,-74.6059594,1,111,Atlantic,Galloway Twp,9490,4327,5163,01/01/2016,major,North/South
131714,00000581__,10.21,39.626553,-75.26396,17,1714,Salem,Upper Pittsgrove Twp,1200,615,585,01/01/2016,Classification 48hrs,North/South
13ms8a,00000563__,13.55,39.49743325,-74.6059594,1,111,Atlantic,Galloway Twp,9362,4319,5043,01/01/2016,major,North/South
8-8-574,06141018__,0.22,39.429114,-75.026985,6,614,Cumberland,Vineland City,5350,2667,2683,01/01/2016,Classification 48hrs,East/West
090436,00000561__,26.62,39.67239,-74.86998,4,436,Camden,Winslow Twp,3900,1979,1921,01/01/2016,Classification 48hrs,North/South
161602,00000202__,67.64,40.97708501,-74.27422847,16,1614,Passaic,Wayne Twp,12026,5620,6406,01/01/2016,Classification 48hrs,North/South
090437,00000536__,28,39.7020972,-74.9360556,4,436,Camden,Winslow Twp,16685,8249,8436,01/01/2016,Classification 48hrs,East/West
8-8-670,01021231__,0.19,39.35583991,-74.44618993,1,102,Atlantic,Atlantic City,3100,1813,1287,01/01/2016,Volume 48hrs,North/South
13ms9a,01000666__,7.87,39.41846772,-74.84198017,1,123,Atlantic,Weymouth Twp,1145,573,572,01/01/2016,major,North/South
9-4-309,00000446__,25.99,39.596664,-74.802536,1,113,Atlantic,Hammonton Town,39075,19462,19613,01/01/2016,Volume 48hrs,East/West
13ms9a,01000666__,7.87,39.41846772,-74.84198017,1,123,Atlantic,Weymouth Twp,1203,602,601,01/01/2016,major,North/South
pd10101,18000620__,3.61,40.646545,-74.646301,18,1801,Somerset,Bedminster Twp,6438,3010,3428,01/01/2016,Classification 48hrs,East/West
13ms8a,00000563__,13.55,39.49743325,-74.6059594,1,111,Atlantic,Galloway Twp,8897,4084,4813,01/01/2016,major,North/South
pd10201,02000085__,3.95,41.08078303,-74.15047004,2,233,Bergen,Mahwah Twp,20773,7130,13643,01/01/2016,Classification 48hrs,East/West
160212,00000502__,13.48,40.994643,-74.090875,2,228,Bergen,Ho Ho Kus Boro,3813,2188,1625,01/01/2016,Classification 48hrs,East/West
8-8-738,00000557__,0.13,39.202284,-74.85274,5,504,Cape May,Dennis Twp,629,295,334,01/01/2016,7 days volume,North/South
13ms9a,01000666__,7.87,39.41846772,-74.84198017,1,123,Atlantic,Weymouth Twp,1864,894,970,01/01/2016,major,North/South
PD10108,00000010__,0.76,40.870213,-74.64296,14,1436,Morris,Roxbury Twp,30765,17768,12997,01/01/2016,Classification 48hrs,East/West
13ms9a,01000666__,7.87,39.41846772,-74.84198017,1,123,Atlantic,Weymouth Twp,1466,736,730,01/01/2016,major,North/South
130121,01121291__,0.5,39.5209,-74.79698,1,112,Atlantic,Hamilton Twp,2896,1487,1409,01/01/2016,7 days volume,East/West
4-4-623,12111055__,0.37,40.5790167,-74.5005,12,1211,Middlesex,Middlesex Boro,5837,3097,2740,01/01/2016,Volume 48hrs,North/South
160220,02000053__,3.58,41.01489503,-74.00962908,2,253,Bergen,River Vale Twp,6912,3293,3619,01/01/2016,Classification 48hrs,North/South
14mc01,00000012__,4.99,40.5115361,-74.9759639,10,1016,Hunterdon,Kingwood Twp,7651,3782,3869,01/01/2016,major,East/West
160218,020000412_,0.16,40.96984001,-73.96255804,2,207,Bergen,Closter Boro,4689,2314,2375,01/01/2016,Classification 48hrs,East/West
6-0-434,13051010__,0.7,40.1936944,-74.0136694,13,1305,Monmouth,Avon-By-The-Sea Boro,92,57,35,01/01/2016,Classification 48hrs,North/South
130305,03131269__,0.47,39.91058201,-74.93114503,3,313,Burlington,Evesham Twp,16618,8550,8068,01/01/2016,Classification 48hrs,East/West
13mc03,00000519__,12.66,40.5668694,-75.0297194,10,1001,Hunterdon,Alexandria Twp,2716,1388,1328,01/01/2016,major,North/South
8-8-538,01131128__,0.32,39.59733003,-74.79742802,1,113,Atlantic,Hammonton Town,1587,788,799,01/01/2016,7 days volume,North/South
13mc05,00000523__,8.27,40.4974583,-74.8834778,10,1021,Hunterdon,Raritan Twp,8480,4253,4227,01/01/2016,major,North/South
160235,02000075__,4.59,41.04443605,-74.09852174,2,258,Bergen,Saddle River Boro,6014,3093,2921,01/01/2016,Classification 48hrs,North/South
110372,03000637__,0.52,40.01438612,-74.82847114,3,337,Burlington,Westampton Twp,9629,4802,4827,01/01/2016,Volume 48hrs,North/South
7-4-322,00000038__,0.81,39.934763,-75.070828,4,427,Camden,Pennsauken Twp,58792,31406,27386,01/01/2016,Volume 48hrs,East/West
4-4-646,18141126__,0.39,40.62651902,-74.42723403,18,1814,Somerset,North Plainfield Boro,1887,935,952,01/01/2016,Volume 48hrs,North/South
160232,020000742_,3.16,40.94154263,-73.97054316,2,208,Bergen,Cresskill Boro,8792,4195,4597,01/01/2016,Classification 48hrs,East/West
090505,00000550__,12.18,39.21932487,-74.77686604,5,516,Cape May,Woodbine Boro,4478,2229,2249,01/01/2016,Classification 48hrs,East/West
160228,02000071__,2.59,41.01323804,-74.06700905,2,268,Bergen,Woodcliff Lake Boro,4253,2175,2078,01/01/2016,Classification 48hrs,North/South
090503,00000557__,6.63,39.28256146,-74.79295228,5,511,Cape May,Upper Twp,2478,1264,1214,01/01/2016,7 days volume,North/South
8-8-576,06101008__,0.16,39.38820574,-75.02986546,6,610,Cumberland,Millville City,1405,716,689,01/01/2016,Volume 48hrs,North/South
090611,00000540__,32.27,39.49501482,-75.05987242,6,614,Cumberland,Vineland City,4483,2169,2314,01/01/2016,Volume 48hrs,East/West
161925,19000613__,7.17,41.0337955,-74.6386611,19,1918,Sussex,Sparta Twp,4198,2109,2089,01/01/2016,Classification 48hrs,North/South
090701,07000618__,0.07,40.85300838,-74.21738999,7,704,Essex,Cedar Grove Twp,4975,2865,2110,01/01/2016,Classification 48hrs,East/West
160236,02000077__,1.75,41.02207845,-74.10375763,2,258,Bergen,Saddle River Boro,4955,2473,2482,01/01/2016,Classification 48hrs,North/South
090702,07201127__,0.79,40.83418158,-74.23578556,7,720,Essex,Verona Twp,2590,1563,1027,01/01/2016,Classification 48hrs,East/West
130301,03000653__,1.21,39.624086,-74.474847,3,301,Burlington,Bass River Twp,1448,733,715,01/01/2016,Classification 48hrs,East/West
090705,00000506__,1.15,40.85179463,-74.29989685,7,721,Essex,West Caldwell Boro,22793,12607,10186,01/01/2016,Volume 48hrs,East/West
4-8-788,18000632__,0.91,40.4337667,-74.5803917,18,1808,Somerset,Franklin Twp,5900,2995,2905,01/01/2016,7 days volume,East/West
14ms5a,01111139__,1.99,39.49894432,-74.50167917,1,111,Atlantic,Galloway Twp,2489,1199,1290,01/01/2016,major,North/South
130304,03000603__,7.67,39.98997203,-74.98437803,3,308,Burlington,Cinnaminson Twp,6323,3505,2818,01/01/2016,Volume 48hrs,North/South
14mc01,00000012__,4.99,40.5115361,-74.9759639,10,1016,Hunterdon,Kingwood Twp,7673,3808,3865,01/01/2016,major,East/West
160614,06000640__,1.75,39.530676,-75.241361,6,613,Cumberland,Upper Deerfield Twp,910,464,446,01/01/2016,Classification 48hrs,East/West
14mc01,00000012__,4.99,40.5115361,-74.9759639,10,1016,Hunterdon,Kingwood Twp,11816,7923,3893,01/01/2016,major,East/West
091812,00000525__,12.77,40.7302306,-74.5765722,18,1803,Somerset,Bernardsville Boro,1132,605,527,01/01/2016,Volume 48hrs,North/South
4-4-658,20091001__,0.17,40.64386642,-74.22123253,20,2009,Union,Linden City,1334,748,586,01/01/2016,Volume 48hrs,East/West
091813,00000533__,32,40.5613611,-74.5385972,18,1804,Somerset,Bound Brook Boro,10644,5418,5226,01/01/2016,Classification 48hrs,North/South
090714,00000509__,11.86,40.74799621,-74.20817096,7,714,Essex,Newark City,13535,8064,5471,01/01/2016,Classification 48hrs,North/South
160515,050006241_,0.23,38.992397,-74.838313,5,505,Cape May,Lower Twp,156,77,79,01/01/2016,Classification 48hrs,East/West
13mc06,10000629__,11.17,40.6325778,-74.8464444,10,1006,Hunterdon,Clinton Twp,1611,694,917,01/01/2016,major,North/South
162010,20000645__,0.93,40.67579728,-74.36379189,20,2010,Union,Mountainside Boro,6088,2610,3478,01/01/2016,Classification 48hrs,North/South
160641,06000737__,0.3,39.47491897,-75.14015646,6,603,Cumberland,Deerfield Twp,224,111,113,01/01/2016,Volume 48hrs,North/South
160616,06000643__,3.49,39.270892,-75.18364,6,604,Cumberland,Downe Twp,210,106,104,01/01/2016,Classification 48hrs,East/West
14mc01,00000012__,4.99,40.5115361,-74.9759639,10,1016,Hunterdon,Kingwood Twp,8071,3943,4128,01/01/2016,major,East/West
162007,20000615__,2.21,40.63536846,-74.28317803,20,2009,Union,Linden City,21937,11190,10747,01/01/2016,Classification 48hrs,North/South
090723,00000577__,0.58,40.71912495,-74.30741635,7,712,Essex,Millburn Twp,14157,7991,6166,01/01/2016,Classification 48hrs,North/South
162006,20000615__,1.64,40.63010886,-74.27622787,20,2009,Union,Linden City,17695,8381,9314,01/01/2016,Classification 48hrs,North/South
13msaa,01191208__,2.08,39.41178423,-74.54028448,1,108,Atlantic,Egg Harbor Twp,3027,1564,1463,01/01/2016,major,North/South
160620,06000654__,4.94,39.460089,-75.10662386,6,603,Cumberland,Deerfield Twp,2811,1412,1399,01/01/2016,Classification 48hrs,East/West
13msaa,01191208__,2.08,39.41178423,-74.54028448,1,108,Atlantic,Egg Harbor Twp,2940,1560,1380,01/01/2016,major,North/South
161430,00000517__,12,40.80175509,-74.81448418,14,1438,Morris,Washington Twp,10886,5588,5298,01/01/2016,Classification 48hrs,North/South
000034,00000034__,0.6,40.1228,-74.08008,13,1352,Monmouth,Wall Twp,39107,21664,17443,01/01/2016,Weigh in Motion,North/South
091819,00000533__,28.48,40.5441694,-74.586875,18,1811,Somerset,Manville Boro,23759,11648,12111,01/01/2016,Classification 48hrs,North/South
13msaa,01191208__,2.08,39.41178423,-74.54028448,1,108,Atlantic,Egg Harbor Twp,2854,1473,1381,01/01/2016,major,North/South
162012,20000647__,2.27,40.70916983,-74.4069337,20,2011,Union,New Providence Boro,10590,5219,5371,01/01/2016,7 days volume,North/South
090724,00000577__,1.35,40.72349331,-74.29933296,7,712,Essex,Millburn Twp,18719,10673,8046,01/01/2016,Volume 48hrs,North/South
130115,00000563__,17.11,39.533157,-74.642514,1,107,Atlantic,Egg Harbor City,4981,2490,2491,01/01/2016,7 days volume,North/South
13msab,01700620__,7.98,39.68042215,-75.34329754,17,1710,Salem,Pittsgrove Twp,1984,997,987,01/01/2016,major,North/South
162120,21000629__,6.6,40.83887,-74.848502,21,2116,Warren,Mansfield Twp,8807,4710,4097,01/01/2016,Classification 48hrs,North/South
13msab,01700620__,7.98,39.68042215,-75.34329754,17,1710,Salem,Pittsgrove Twp,1934,971,963,01/01/2016,major,North/South
7-5-177,00000040__,2.87,39.68217504,-75.45795105,17,1702,Salem,Elmer Boro,14593,7240,7353,01/01/2016,Volume 48hrs,East/West
13msab,01700620__,7.98,39.68042215,-75.34329754,17,1710,Salem,Pittsgrove Twp,2036,1020,1016,01/01/2016,major,North/South
161913,00000521__,22.15,41.12524541,-74.82126096,19,1910,Sussex,Hampton Twp,1362,665,697,01/01/2016,Classification 48hrs,North/South
13msab,01700620__,7.98,39.68042215,-75.34329754,17,1710,Salem,Pittsgrove Twp,2303,1162,1141,01/01/2016,major,North/South
161904,19000635__,0.69,41.17997132,-74.68994506,19,1905,Sussex,Frankford Twp,593,315,278,01/01/2016,Classification 48hrs,North/South
14mc05,12000625__,5.07,40.3347944,-74.4404278,12,1213,Middlesex,Monroe Twp,8372,4140,4232,01/01/2016,major,North/South
161707,17000614__,4.31,39.59851378,-75.2808963,17,1714,Salem,Upper Pittsgrove Twp,443,243,200,01/01/2016,Classification 48hrs,North/South
13msac,04000723__,1.62,39.66474589,-74.8836079,4,436,Camden,Winslow Twp,4887,2510,2377,01/01/2016,major,East/West
130119,00000559__,20.52,39.51775771,-74.77987056,1,112,Atlantic,Hamilton Twp,4017,2021,1996,01/01/2016,Volume 48hrs,North/South
13msac,04000723__,1.62,39.66474589,-74.8836079,4,436,Camden,Winslow Twp,4751,2323,2428,01/01/2016,major,East/West
161903,19000630__,0.23,41.15461348,-74.78442511,19,1905,Sussex,Frankford Twp,4073,1849,2224,01/01/2016,Classification 48hrs,East/West
13msac,04000723__,1.62,39.66474589,-74.8836079,4,436,Camden,Winslow Twp,5130,2523,2607,01/01/2016,major,East/West
161912,19000657__,0.07,41.15193934,-74.575791,19,1909,Sussex,Hamburg Boro,1830,872,958,01/01/2016,Classification 48hrs,North/South
14mc04,15000618__,0.33,39.918725,-74.2659028,15,1512,Ocean,Lacey Twp,1042,475,567,01/01/2016,major,East/West
130309,00000542__,17.43,39.61649203,-74.49925702,3,336,Burlington,Washington Twp,2652,1325,1327,01/01/2016,Volume 48hrs,East/West
13mc01,00000518__,3.15,40.3644333,-74.8900167,10,1026,Hunterdon,West Amwell Twp,3866,1981,1885,01/01/2016,major,East/West
130317,00000537__,10.13,39.96527012,-74.94345801,3,322,Burlington,Moorestown Twp,13481,6536,6945,01/01/2016,Volume 48hrs,East/West
111443,14000636__,0.89,40.75437272,-74.43626967,14,1417,Morris,Madison Boro,8607,4250,4357,01/01/2016,Volume 48hrs,East/West
7-4-329,00000070__,4.88,39.909737,-74.98786,4,409,Camden,Cherry Hill Twp,55835,27743,28092,01/01/2016,Volume 48hrs,East/West
13msac,04000723__,1.62,39.66474589,-74.8836079,4,436,Camden,Winslow Twp,5492,2697,2795,01/01/2016,major,East/West
161905,00000094__,19.46,41.04118712,-74.80453489,19,1907,Sussex,Fredon Twp,9936,4919,5017,01/01/2016,Classification 48hrs,North/South
13msae,06000610__,2.38,39.33380027,-75.19377044,6,608,Cumberland,Lawrence Twp,1741,869,872,01/01/2016,major,East/West
161906,00000519__,61.77,41.03216596,-74.79584422,19,1905,Sussex,Frankford Twp,1147,544,603,01/01/2016,Classification 48hrs,North/South
13msae,06000610__,2.38,39.33380027,-75.19377044,6,608,Cumberland,Lawrence Twp,1874,945,929,01/01/2016,major,East/West
130429,04000759__,1.59,39.79737902,-75.03940802,4,415,Camden,Gloucester Twp,9793,4949,4844,01/01/2016,Volume 48hrs,North/South
13msae,06000610__,2.38,39.33380027,-75.19377044,6,608,Cumberland,Lawrence Twp,1726,861,865,01/01/2016,major,East/West
090125,00000561A_,1.44,39.492386,-74.434654,1,111,Atlantic,Galloway Twp,386,186,200,01/01/2016,Classification 48hrs,North/South
13msae,06000610__,2.38,39.33380027,-75.19377044,6,608,Cumberland,Lawrence Twp,1852,927,925,01/01/2016,major,East/West
110320,03000613__,2.49,40.01036588,-74.93613163,3,310,Burlington,Delran Twp,7798,3839,3959,01/01/2016,Volume 48hrs,North/South
13msae,06000610__,2.38,39.33380027,-75.19377044,6,608,Cumberland,Lawrence Twp,1794,895,899,01/01/2016,major,East/West
161928,19000619__,0.1,41.044754,-74.846985,19,1920,Sussex,Stillwater Twp,1677,843,834,01/01/2016,Classification 48hrs,North/South
13msae,06000610__,2.38,39.33380027,-75.19377044,6,608,Cumberland,Lawrence Twp,1840,923,917,01/01/2016,major,East/West
162106,21000638__,1.15,40.686802,-75.124542,21,2107,Warren,Greenwich Twp,4386,2204,2182,01/01/2016,Classification 48hrs,East/West
13msaf,08000610__,3.89,39.657805,-75.06128576,8,801,Gloucester,Clayton Boro,7960,3983,3977,01/01/2016,major,East/West
130825,08000617__,0.42,39.68206103,-75.27928503,8,816,Gloucester,South Harrison Twp,623,291,332,01/01/2016,Volume 48hrs,North/South
13msaf,08000610__,3.89,39.657805,-75.06128576,8,801,Gloucester,Clayton Boro,8094,4039,4055,01/01/2016,major,East/West
130826,08000655__,8.4,39.72208802,-75.05041403,8,818,Gloucester,Washington Twp,13748,6937,6811,01/01/2016,Volume 48hrs,North/South
13msaf,08000610__,3.89,39.657805,-75.06128576,8,801,Gloucester,Clayton Boro,7557,3778,3779,01/01/2016,major,East/West
161914,19000626__,0.37,41.10731254,-74.78411287,19,1910,Sussex,Hampton Twp,3256,1668,1588,01/01/2016,Classification 48hrs,East/West
13msad,04031071__,0.18,39.86463392,-75.05190482,4,403,Camden,Barrington Boro,1868,853,1015,01/01/2016,major,East/West
161927,19000617__,0.67,41.04699743,-74.88007261,19,1920,Sussex,Stillwater Twp,358,179,179,01/01/2016,Classification 48hrs,North/South
161401,14000618__,2.76,40.91101,-74.426925,14,1402,Morris,Boonton Twp,7175,3703,3472,01/01/2016,Classification 48hrs,North/South
1104a5,04000684__,1.08,39.835846,-74.980701,4,413,Camden,Gibbsboro Boro,4197,2064,2133,01/01/2016,Volume 48hrs,East/West
13msad,04031071__,0.18,39.86463392,-75.05190482,4,403,Camden,Barrington Boro,1906,879,1027,01/01/2016,major,East/West
110152,01121027__,4.86,39.573933,-74.886473,1,105,Atlantic,Buena Vista Twp,1574,792,782,01/01/2016,Volume 48hrs,North/South
13msad,04031071__,0.18,39.86463392,-75.05190482,4,403,Camden,Barrington Boro,1995,909,1086,01/01/2016,major,East/West
130116,00000446__,10.52,39.440742,-74.603374,1,108,Atlantic,Egg Harbor Twp,44960,22098,22862,01/01/2016,Volume 48hrs,East/West
13msae,06000610__,2.38,39.33380027,-75.19377044,6,608,Cumberland,Lawrence Twp,1553,780,773,01/01/2016,major,East/West
161921,19000675__,0.1,41.25177252,-74.80135602,19,1917,Sussex,Sandyston Twp,355,197,158,01/01/2016,Classification 48hrs,East/West
13msae,06000610__,2.38,39.33380027,-75.19377044,6,608,Cumberland,Lawrence Twp,1593,812,781,01/01/2016,major,East/West
110135,01000654__,1.04,39.455479,-74.512908,1,111,Atlantic,Galloway Twp,4290,2123,2167,01/01/2016,Volume 48hrs,East/West
13msae,06000610__,2.38,39.33380027,-75.19377044,6,608,Cumberland,Lawrence Twp,1630,815,815,01/01/2016,major,East/West
090130,00000561A_,10.2,39.52989901,-74.57777101,1,111,Atlantic,Galloway Twp,3063,1518,1545,01/01/2016,7 days volume,North/South
7-4-419,00000553__,18.09,39.40566438,-75.19628855,6,605,Cumberland,Fairfield Twp,1780,885,895,01/01/2016,Volume 48hrs,North/South
161929,00000094__,38.58,41.178225,-74.533362,19,1922,Sussex,Vernon Twp,7627,3752,3875,01/01/2016,Classification 48hrs,North/South
13msae,06000610__,2.38,39.33380027,-75.19377044,6,608,Cumberland,Lawrence Twp,1804,905,899,01/01/2016,major,East/West
162104,21000637__,3.59,40.69883,-75.117195,21,2107,Warren,Greenwich Twp,3337,1633,1704,01/01/2016,Classification 48hrs,North/South
13msaf,08000610__,3.89,39.657805,-75.06128576,8,801,Gloucester,Clayton Boro,7601,3781,3820,01/01/2016,major,East/West
130112,01131078__,0.86,39.62301603,-74.76764535,1,113,Atlantic,Hammonton Town,456,254,202,01/01/2016,Classification 48hrs,North/South
140701,00000577__,8.54,40.809053,-74.246173,7,722,Essex,West Orange Twp,23230,11717,11513,01/01/2016,major,North/South
131709,00000077__,13.99,39.615803,-75.23021,17,1714,Salem,Upper Pittsgrove Twp,7061,3598,3463,01/01/2016,Volume 48hrs,North/South
14mc04,15000618__,0.33,39.918725,-74.2659028,15,1512,Ocean,Lacey Twp,769,370,399,01/01/2016,major,East/West
110422,04000619__,0.32,39.95177102,-75.05290311,4,424,Camden,Merchantville Boro,1209,604,605,01/01/2016,Volume 48hrs,East/West
000001,00000001__,12.9,40.3487,-74.6175,12,1218,Middlesex,Plainsboro Twp,0,32540,0,01/01/2016,Weigh in Motion,North
161932,00000519__,83.36,41.26450492,-74.65042403,19,1924,Sussex,Wantage Twp,944,481,463,01/01/2016,Classification 48hrs,North/South
14mc04,15000618__,0.33,39.918725,-74.2659028,15,1512,Ocean,Lacey Twp,797,377,420,01/01/2016,major,East/West
162016,20000607__,4.68,40.64966748,-74.26492285,20,2014,Union,Roselle Boro,4893,2379,2514,01/01/2016,Classification 48hrs,East/West
4-5-074,00000022__,43.09,40.6114167,-74.4615,18,1814,Somerset,North Plainfield Boro,50372,25264,25108,01/01/2016,Volume 48hrs,East/West
162013,00000514__,37.92,40.59735845,-74.26816093,20,2013,Union,Rahway City,18550,7247,11303,01/01/2016,Classification 48hrs,North/South
130120,01000623__,2.67,39.54953919,-74.74810389,1,112,Atlantic,Hamilton Twp,1022,510,512,01/01/2016,Volume 48hrs,North/South
161933,19000637__,1.69,41.19159446,-74.68677398,19,1905,Sussex,Frankford Twp,1329,675,654,01/01/2016,Classification 48hrs,North/South
14mc02,00000579__,32.6,40.6216139,-75.0247222,10,1025,Hunterdon,Union Twp,2109,1080,1029,01/01/2016,major,North/South
131915,00000206__,109.11,41.05702787,-74.75364716,19,1915,Sussex,Newton Town,11598,6444,5154,01/01/2016,Volume 48hrs,North/South
14mc02,00000579__,32.6,40.6216139,-75.0247222,10,1025,Hunterdon,Union Twp,2205,1115,1090,01/01/2016,major,North/South
090140,00000561__,20.13,39.61716202,-74.77219739,1,113,Atlantic,Hammonton Town,2604,1367,1237,01/01/2016,Volume 48hrs,North/South
160221,02000055__,0.37,40.83046346,-74.09630913,2,212,Bergen,East Rutherford Boro,11095,5554,5541,01/01/2016,Classification 48hrs,North/South
162025,20000627__,0.83,40.67375454,-74.2667935,20,2019,Union,Union Twp,6744,3692,3052,01/01/2016,Classification 48hrs,North/South
